Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
369,20,RL,78.0,7800.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6.0,1954,1954,Gable,CompShg,HdBoard,HdBoard,BrkFace,200.0,3,3,PConc,3.0,3.0,0.0,1.0,540.0,0.0,0,728.0,1268.0,GasA,4,Y,1,1268.0,0,0,1268.0,0.0,0,1,0,2.0,1,3,7,Typ,1.0,4.0,Attchd,1954.0,3.0,1.0,244.0,3.0,3.0,1,0,98,0,0,0,0,0,0,3,2010,WD,Normal,132000.0
370,20,RL,70.04995836802665,9830.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7.0,1959,2006,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,0.0,4.0,72.0,0.0,0,733.0,1063.0,GasA,5,Y,1,1287.0,0,0,1287.0,1.0,0,1,0,3.0,1,4,7,Typ,1.0,4.0,Detchd,1997.0,3.0,2.0,576.0,3.0,3.0,1,364,17,0,0,0,0,0,0,3,2010,WD,Normal,162000.0
371,60,RL,70.04995836802665,8121.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5.0,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,0.0,0.0,0.0,0.0,0,953.0,953.0,GasA,5,Y,1,953.0,711,0,1664.0,0.0,0,2,1,3.0,1,3,7,Typ,1.0,3.0,Attchd,2000.0,2.0,2.0,460.0,3.0,3.0,1,100,40,0,0,0,0,0,0,1,2006,WD,Normal,172400.0
372,50,RL,80.0,17120.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,4.0,1959,1959,Gable,CompShg,WdShing,Plywood,None,0.0,3,3,CBlock,3.5797610681658467,3.0,0.6736990154711674,2.6380885453267746,0.0,0.0,0,0.0,40.125,GasA,3,Y,1,1120.0,468,0,1588.0,0.0,0,2,0,4.0,1,3,7,Min2,1.0,4.0,Detchd,1991.0,3.0,2.0,680.0,3.0,3.0,1,0,59,0,0,0,0,0,0,7,2008,WD,Normal,134432.0
373,120,RL,50.0,7175.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5.0,1984,1984,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4.0,3.0,0.0,4.0,623.0,0.0,0,0.0,744.0,GasA,3,Y,1,752.0,0,0,752.0,1.0,0,1,0,2.0,1,3,4,Typ,0.0,3.461038961038961,Attchd,1984.0,1.0,1.0,264.0,3.0,3.0,1,353,0,0,0,0,0,0,0,2,2010,WD,Normal,125000.0
374,20,RL,79.0,10634.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6.0,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,3.0,3.0,0.0,3.0,428.0,0.0,0,0.0,608.0,GasA,3,Y,1,1319.0,0,0,1319.0,1.0,0,1,0,3.0,1,3,5,Min2,0.0,3.461038961038961,Attchd,1953.0,1.0,1.0,270.0,3.0,3.0,1,66,0,0,0,0,0,0,0,11,2009,WD,Normal,123000.0
375,60,RL,65.0,8200.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5.0,2003,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,0.0,0.0,0.0,0.0,0,847.0,847.0,GasA,5,Y,1,847.0,1081,0,1928.0,0.0,0,2,1,4.0,1,4,8,Typ,1.0,4.0,BuiltIn,2003.0,3.0,2.0,434.0,3.0,3.0,1,100,48,0,0,0,0,0,0,7,2007,WD,Normal,219500.0
376,30,RL,70.04995836802665,10020.0,Pave,IR1,Low,AllPub,Inside,Sev,Edwards,Norm,Norm,1Fam,1Story,2,3.5,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,3,BrkTil,2.0,3.0,2.5,3.0,350.0,0.0,0,333.0,683.0,GasA,4,N,1,904.0,0,0,904.0,1.0,0,0,1,1.0,1,2,4,Maj1,0.0,3.461038961038961,Attchd,1978.5061638868744,1.8165337200870195,0.0,0.0,3.0,3.0,1,0,0,0,0,0,0,0,0,3,2009,WD,Normal,61000.0
377,85,RL,57.0,8846.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,5.0,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,2.0,5.0,298.0,0.0,0,572.0,870.0,GasA,5,Y,1,914.0,0,0,914.0,0.0,0,1,0,2.0,1,3,5,Typ,0.0,3.461038961038961,Detchd,1998.0,1.0,2.0,576.0,3.0,3.0,1,0,0,0,0,0,0,0,0,7,2006,WD,Normal,148000.0
378,60,FV,102.0,11143.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5.0,2004,2005,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4.0,3.0,0.0,0.0,0.0,0.0,0,1580.0,1580.0,GasA,5,Y,1,1580.0,886,0,2466.0,0.0,0,3,0,4.0,1,4,8,Typ,1.0,4.0,Attchd,2004.0,2.0,2.0,610.0,3.0,3.0,1,159,190,0,0,0,0,0,0,12,2007,WD,Normal,340000.0
379,20,RL,88.0,11394.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,3.5,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,4,3,PConc,5.0,3.0,2.0,5.0,1445.0,0.0,0,411.0,1856.0,GasA,5,Y,1,1856.0,0,0,1856.0,1.0,0,1,1,1.0,1,5,8,Typ,1.0,5.0,Attchd,2010.0,3.0,3.0,834.0,3.0,3.0,1,113,0,0,0,0,0,0,0,6,2010,New,Partial,340037.5
380,60,RL,60.0,8123.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5.0,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,3,3,PConc,4.0,3.0,0.0,0.0,0.0,0.0,0,982.0,982.0,GasA,5,Y,1,1007.0,793,0,1800.0,0.0,0,2,1,3.0,1,3,7,Typ,1.0,3.0,Attchd,2000.0,3.0,2.0,463.0,3.0,3.0,1,100,63,0,0,0,0,0,0,6,2009,WD,Normal,179000.0
381,50,RL,50.0,5000.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,6.0,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,0.0,1.0,218.0,0.0,0,808.0,1026.0,GasA,3,Y,1,1026.0,665,0,1691.0,0.0,0,2,0,3.0,1,4,6,Typ,1.0,4.0,Detchd,1924.0,1.0,1.0,308.0,3.0,3.0,1,0,0,0,0,0,0,0,0,5,2010,WD,Normal,127000.0
382,20,FV,60.0,7200.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5.0,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,0.0,0.0,0.0,0.0,0,1293.0,1293.0,GasA,5,Y,1,1301.0,0,0,1301.0,1.0,0,2,0,2.0,1,4,5,Typ,1.0,4.0,Attchd,2006.0,2.0,2.0,572.0,3.0,3.0,1,216,121,0,0,0,0,0,0,8,2006,New,Partial,187750.0
383,60,RL,79.0,9245.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5.0,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,2.0,0.0,0.0,0.0,0,939.0,939.0,GasA,5,Y,1,939.0,858,0,1797.0,0.0,0,2,1,3.0,1,4,8,Typ,0.0,3.461038961038961,Attchd,2006.0,2.0,2.0,639.0,3.0,3.0,1,144,53,0,0,0,0,0,0,4,2007,WD,Normal,213500.0
384,45,RH,60.0,9000.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3.5,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2.0,3.0,0.0,0.0,0.0,0.0,0,784.0,784.0,GasA,3,N,1,784.0,0,0,784.0,0.0,0,1,0,2.0,1,3,5,Typ,0.0,3.461038961038961,Detchd,1950.0,1.0,2.0,360.0,3.0,3.0,1,0,0,0,0,0,0,0,0,10,2009,WD,Normal,76000.0
385,60,RL,70.04995836802665,17714.375,Pave,IR2,Low,AllPub,Corner,Mod,ClearCr,Feedr,Norm,1Fam,2Story,6,5.0,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4.0,3.0,2.0,5.0,985.0,0.0,0,595.0,1580.0,GasA,5,Y,1,1079.0,874,0,1953.0,1.0,0,2,1,3.0,1,4,9,Typ,2.0,2.0,Attchd,1992.0,3.0,2.0,501.0,3.0,3.0,1,216,190,0,0,0,0,0,0,6,2007,WD,Normal,240000.0
386,120,RL,43.0,3182.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5.0,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,4,3,PConc,4.0,3.0,0.0,5.0,24.0,0.0,0,1232.0,1256.0,GasA,5,Y,1,1269.0,0,0,1269.0,0.0,0,2,0,2.0,1,4,6,Typ,1.0,3.0,Attchd,2004.0,3.0,2.0,430.0,3.0,3.0,1,146,20,0,0,0,0,0,0,4,2010,WD,Normal,192000.0
387,50,RL,58.0,8410.0,Pave,Reg,Lvl,AllPub,FR2,Gtl,Edwards,Feedr,Norm,1Fam,1.5Fin,5,3.5,1910,1996,Gambrel,CompShg,Wd Sdng,VinylSd,None,0.0,3,3,PConc,3.0,3.0,0.0,0.0,0.0,0.0,0,658.0,658.0,GasA,3,Y,1,658.0,526,0,1184.0,0.0,0,1,0,4.5,1,3,8,Typ,0.0,3.461038961038961,Attchd,1978.5061638868744,1.8165337200870195,0.0,0.0,3.0,3.0,1,0,151,0,0,0,0,0,0,5,2006,WD,AdjLand,81000.0
388,80,RL,72.0,7200.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,6.0,1976,1976,Hip,CompShg,MetalSd,MetalSd,BrkFace,255.0,3,3,CBlock,3.0,3.0,2.0,4.0,631.0,0.0,0,410.0,1041.0,GasA,5,Y,1,1125.0,0,0,1125.0,1.0,0,1,0,3.0,1,3,6,Typ,1.0,2.0,Detchd,1977.0,1.0,1.0,352.0,3.0,3.0,1,296,0,0,0,0,0,0,0,10,2009,WD,Abnorml,125000.0
389,20,RL,93.0,9382.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5.0,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,125.0,4,3,PConc,4.0,3.0,0.0,0.0,0.0,0.0,0,1468.0,1468.0,GasA,5,Y,1,1479.0,0,0,1479.0,0.0,0,2,0,3.0,1,4,6,Typ,0.0,3.461038961038961,Attchd,1999.0,2.0,2.0,577.0,3.0,3.0,1,120,25,0,0,0,0,0,0,7,2008,WD,Normal,191000.0
390,60,RL,96.0,12474.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,10,5.0,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,272.0,5,3,PConc,5.0,3.0,2.0,5.0,1280.0,0.0,0,402.0,1682.0,GasA,5,Y,1,1742.0,590,0,2332.0,1.0,0,2,1,3.0,1,5,9,Typ,1.0,5.0,BuiltIn,2008.0,3.0,3.0,846.0,3.0,3.0,1,196,134,0,0,0,0,0,0,8,2008,New,Partial,340037.5
391,50,RL,50.0,8405.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,7.5,1900,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,0.0,2.0,241.0,0.0,0,229.0,861.0,GasA,5,Y,1,961.0,406,0,1367.0,1.0,0,1,0,4.0,1,3,7,Typ,0.0,3.461038961038961,Detchd,1978.0,1.0,1.0,384.0,3.0,3.0,1,0,130,0,0,0,0,0,0,4,2008,WD,Normal,119000.0
392,60,RL,71.0,12209.0,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,5.0,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5.0,3.0,0.0,4.0,690.0,0.0,0,114.0,804.0,GasA,5,Y,1,804.0,1157,0,1961.0,1.0,0,2,1,3.0,1,4,7,Typ,1.0,3.0,BuiltIn,2001.0,3.0,2.0,560.0,3.0,3.0,1,125,190,0,0,0,0,0,0,6,2009,WD,Normal,215000.0
393,20,RL,70.04995836802665,8339.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7.0,1959,1959,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,3.5797610681658467,3.0,0.6736990154711674,2.6380885453267746,0.0,0.0,0,0.0,40.125,GasA,3,Y,1,882.0,0,0,882.0,0.0,0,1,0,3.0,1,3,5,Typ,0.0,3.461038961038961,Attchd,1959.0,2.0,1.0,294.0,3.0,3.0,1,0,0,0,0,0,0,0,0,7,2007,WD,Normal,106500.0
394,30,RL,70.04995836802665,7446.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,4,5.0,1941,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3.0,3.0,0.0,2.0,266.0,0.0,0,522.0,788.0,GasA,3,Y,1,788.0,0,0,788.0,0.0,0,1,0,2.0,1,3,4,Typ,2.0,3.0,Attchd,1978.5061638868744,1.8165337200870195,0.0,0.0,3.0,3.0,1,0,0,0,0,0,0,0,0,4,2006,WD,Abnorml,100000.0
395,50,RL,60.0,10134.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,6.0,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,0.0,0.0,0.0,0.0,0,735.0,735.0,GasA,4,Y,1,735.0,299,0,1034.0,0.0,0,1,0,2.0,1,3,5,Typ,0.0,3.461038961038961,Detchd,1940.0,1.0,1.0,240.0,3.0,3.0,1,0,39,0,0,0,0,0,0,7,2007,WD,Normal,109000.0
396,20,RL,68.0,9571.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6.0,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,2.0,3.0,739.0,0.0,0,405.0,1144.0,GasA,3,Y,1,1144.0,0,0,1144.0,1.0,0,1,0,3.0,1,3,6,Typ,0.0,3.461038961038961,Attchd,1956.0,1.0,1.0,596.0,3.0,3.0,1,44,0,0,0,0,0,0,0,6,2010,WD,Normal,129000.0
397,20,RL,60.0,7200.0,Pave,Reg,Low,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5.0,1972,1972,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,2.0,2.0,777.0,0.0,0,117.0,894.0,GasA,3,Y,1,894.0,0,0,894.0,0.0,0,1,0,2.0,1,3,6,Typ,0.0,3.461038961038961,Detchd,1985.0,2.0,2.0,600.0,3.0,3.0,1,215,0,0,0,0,0,0,0,9,2009,WD,Normal,123000.0
398,60,RL,69.0,7590.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,5,5.0,1962,1962,Gable,CompShg,VinylSd,VinylSd,BrkFace,288.0,3,3,CBlock,3.0,3.0,0.0,4.0,540.0,0.0,0,324.0,864.0,GasA,3,Y,1,876.0,936,0,1812.0,0.0,0,2,0,4.0,1,3,8,Typ,1.0,3.0,Attchd,1962.0,2.0,1.0,264.0,3.0,3.0,1,0,168,0,0,0,0,0,0,7,2007,WD,Normal,169500.0
399,30,RM,60.0,8967.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,3.5,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2.0,3.0,0.0,0.0,0.0,0.0,0,961.0,961.0,GasA,4,Y,1,1077.0,0,0,1077.0,0.0,0,1,0,2.0,1,3,6,Maj2,0.0,3.461038961038961,Detchd,1920.0,1.0,1.0,338.0,3.0,3.0,1,0,0,0,0,0,0,0,0,11,2007,WD,Abnorml,67000.0
400,60,FV,65.0,8125.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5.0,2006,2007,Gable,CompShg,CemntBd,CmentBd,Stone,100.0,4,3,PConc,4.0,3.0,0.0,5.0,812.0,0.0,0,280.0,1092.0,GasA,5,Y,1,1112.0,438,0,1550.0,1.0,0,2,0,2.0,1,4,7,Typ,0.0,3.461038961038961,Attchd,2007.0,3.0,2.0,438.0,3.0,3.0,1,0,168,0,0,0,0,0,0,10,2009,WD,Normal,241000.0
401,120,RL,38.0,14963.0,Pave,IR2,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5.0,1996,1996,Gable,CompShg,BrkFace,BrkFace,None,0.0,4,3,PConc,4.0,3.0,0.0,5.0,786.0,0.0,0,474.0,1260.0,GasA,5,Y,1,1288.0,0,0,1288.0,1.0,0,1,1,1.0,1,5,4,Typ,2.0,4.0,Attchd,1996.0,3.0,2.0,500.0,3.0,3.0,1,120,30,0,0,0,0,0,0,12,2008,WD,Normal,245500.0
402,20,RL,65.0,8767.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5.0,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,2.0,5.0,24.0,0.0,0,1286.0,1310.0,GasA,5,Y,1,1310.0,0,0,1310.0,0.0,0,2,0,3.0,1,4,6,Typ,1.0,4.0,Attchd,2005.0,3.0,2.0,400.0,3.0,3.0,1,0,0,0,0,0,0,0,0,7,2006,New,Partial,164990.0
403,30,RL,60.0,10200.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7.5,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,3.0,0.0,0.0,0.0,0.0,0,672.0,672.0,GasA,5,Y,1,672.0,0,0,672.0,0.0,0,1,0,2.0,1,3,4,Typ,0.0,3.461038961038961,Detchd,1940.0,1.0,1.0,240.0,3.0,3.0,1,168,0,0,0,0,0,0,0,8,2008,WD,Normal,108000.0
404,60,RL,93.0,12090.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5.0,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,490.0,4,3,PConc,4.0,3.0,0.0,0.0,0.0,0.0,0,1141.0,1141.0,GasA,4,Y,1,1165.0,1098,0,2263.0,0.0,0,2,1,4.0,1,4,10,Typ,1.0,3.0,BuiltIn,1998.0,3.0,2.0,420.0,3.0,3.0,1,144,123,0,0,0,0,0,0,7,2006,WD,Abnorml,258000.0
405,60,RL,70.04995836802665,10364.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5.0,1995,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,4.0,3.0,0.0,0.0,0.0,0.0,0,806.0,806.0,GasA,4,Y,1,806.0,766,0,1572.0,0.0,0,2,1,3.0,1,3,7,Typ,1.0,3.0,BuiltIn,1995.0,3.0,2.0,373.0,3.0,3.0,1,0,40,0,0,0,0,0,0,5,2007,WD,Normal,168000.0
406,20,RL,70.04995836802665,9991.0,Pave,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,4,4.0,1976,1993,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3.0,3.0,0.0,3.0,1116.0,0.0,0,165.0,1281.0,GasA,5,Y,1,1620.0,0,0,1620.0,1.0,0,2,0,3.0,1,3,8,Min1,1.0,3.0,Attchd,1993.0,1.0,2.0,490.0,3.0,3.0,1,120,78,0,0,0,0,0,0,6,2009,WD,Normal,150000.0
407,50,RL,51.0,10480.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,6,5.0,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,0.0,0.0,0.0,0.0,0,1064.0,1064.0,GasA,5,Y,1,1166.0,0,0,1639.0,0.0,0,1,0,3.0,1,3,6,Maj2,0.0,3.461038961038961,Detchd,1936.0,1.0,1.0,240.0,3.0,3.0,1,0,0,0,0,0,0,0,0,3,2008,WD,Normal,115000.0
408,70,RL,63.0,15576.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,6,7.0,1915,1976,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,BrkTil,4.0,3.0,0.0,0.0,0.0,0.0,0,840.0,840.0,GasA,5,Y,1,840.0,840,0,1680.0,0.0,0,2,0,4.0,1,3,8,Typ,0.0,3.461038961038961,Attchd,1960.0,1.0,1.0,308.0,3.0,3.0,1,0,0,0,0,0,0,0,0,3,2008,WD,Normal,177000.0
409,60,RL,109.0,14154.0,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5.0,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,5.0,3.0,0.0,0.0,0.0,0.0,0,1063.0,1063.0,GasA,5,Y,1,1071.0,1101,0,2172.0,0.0,0,2,1,3.0,1,4,9,Typ,1.0,4.0,Attchd,2006.0,2.0,3.0,938.5,3.0,3.0,1,192,62,0,0,0,0,0,0,8,2007,New,Partial,280000.0
410,60,FV,85.0,10800.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5.0,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,100.0,4,3,PConc,5.0,3.0,0.0,5.0,789.0,0.0,0,245.0,1034.0,GasA,5,Y,1,1050.0,1028,0,2078.0,1.0,0,2,1,3.0,1,5,8,Typ,1.0,4.0,Attchd,2008.0,3.0,3.0,836.0,3.0,3.0,1,0,102,0,0,0,0,0,0,4,2008,New,Partial,339750.0
411,20,RL,68.0,9571.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,3.5,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,3,3,CBlock,3.0,3.0,0.0,0.0,0.0,0.0,0,1276.0,1276.0,GasA,3,Y,1,1276.0,0,0,1276.0,0.0,0,1,0,3.0,1,3,5,Mod,0.0,3.461038961038961,Attchd,1958.0,1.0,1.0,350.0,3.0,3.0,1,0,0,0,0,0,0,0,0,6,2009,COD,Abnorml,60000.0
412,190,RL,100.0,17714.375,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5.0,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,2.0,1056.0,0.0,0,0.0,1056.0,GasA,3,N,1,1056.0,0,0,1056.0,1.0,0,1,0,3.0,1,3,5,Typ,0.0,3.461038961038961,Attchd,1955.0,3.0,2.0,572.0,3.0,3.0,1,264,0,0,0,0,0,0,0,1,2006,WD,Normal,145000.0
413,20,FV,70.04995836802665,4403.0,Pave,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5.0,2009,2009,Gable,CompShg,MetalSd,MetalSd,Stone,410.625,5,3,PConc,5.0,3.0,2.0,5.0,578.0,0.0,0,892.0,1470.0,GasA,5,Y,1,1478.0,0,0,1478.0,1.0,0,2,1,2.0,1,4,7,Typ,1.0,4.0,Attchd,2009.0,3.0,2.0,484.0,3.0,3.0,1,0,144,0,0,0,0,0,0,6,2010,New,Partial,222000.0
414,30,RM,56.0,8960.0,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,6.0,1927,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3.0,3.0,0.0,0.0,0.0,0.0,0,1008.0,1008.0,GasA,4,Y,1,1028.0,0,0,1028.0,0.0,0,1,0,2.0,1,3,5,Typ,1.0,4.0,Detchd,1927.0,1.0,2.0,360.0,3.0,3.0,1,0,0,0,0,0,0,0,0,3,2010,WD,Normal,115000.0
415,60,RL,59.0,11228.0,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5.0,1993,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,0.0,3.0,50.0,0.0,0,499.0,1080.0,GasA,5,Y,1,1080.0,1017,0,2097.0,0.0,0,2,1,3.0,1,4,9,Typ,1.0,3.0,Attchd,1993.0,1.0,3.0,678.0,3.0,3.0,1,196,187,0,0,0,0,0,0,12,2008,WD,Normal,228000.0
416,20,RL,73.0,8899.0,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5.0,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,410.625,4,3,PConc,4.0,3.0,2.0,5.0,24.0,0.0,0,1316.0,1340.0,GasA,5,Y,1,1340.0,0,0,1340.0,0.0,0,2,0,3.0,1,4,6,Typ,0.0,3.461038961038961,Attchd,2007.0,3.0,2.0,396.0,3.0,3.0,1,100,30,0,0,0,0,0,0,8,2007,New,Partial,181134.0
